article_id,title,date,article_text
1,"Apple Reports Record Q4 Earnings Amid Strong iPhone Sales",2024-01-15,"Apple Inc. (AAPL) reported record-breaking fourth-quarter earnings on Monday, with revenue reaching $89.5 billion, a 15% increase from the previous year. CEO Tim Cook announced that iPhone sales surged to 55 million units, driven by strong demand for the iPhone 15 Pro. The company's stock price jumped 8% in after-hours trading to $185.50 per share. Apple's market capitalization now stands at $2.8 trillion. The tech giant also revealed plans to invest $10 billion in artificial intelligence research over the next three years."
2,"Tesla Stock Plummets After Missing Delivery Targets",2024-01-16,"Tesla Motors (TSLA) shares dropped 12% on Tuesday after the electric vehicle manufacturer reported lower-than-expected delivery numbers for Q4 2023. The company delivered 484,000 vehicles, falling short of analyst expectations of 510,000 units. CEO Elon Musk addressed investors during a conference call, stating that production challenges at the Berlin Gigafactory contributed to the shortfall. Tesla's revenue for the quarter was $25.2 billion, down from $26.5 billion in Q3. The stock closed at $215.30, wiping out approximately $80 billion in market value."
3,"Microsoft Announces $75 Billion Stock Buyback Program",2024-01-17,"Microsoft Corporation (MSFT) announced a massive $75 billion stock repurchase program on Wednesday, one of the largest in corporate history. The software giant also declared a quarterly dividend of $0.75 per share. CEO Satya Nadella stated that the buyback reflects confidence in the company's long-term growth prospects, particularly in cloud computing and AI services. Microsoft's Azure cloud division reported revenue of $28.5 billion, up 27% year-over-year. The company's shares rose 4% to $385.20 following the announcement."
4,"Amazon Web Services Revenue Surpasses $100 Billion Annual Run Rate",2024-01-18,"Amazon.com Inc. (AMZN) reported that its cloud computing division, Amazon Web Services (AWS), has achieved an annual revenue run rate exceeding $100 billion for the first time. CEO Andy Jassy highlighted that AWS generated $25.4 billion in revenue during Q4 2023, representing 13% growth. The e-commerce giant's total revenue reached $170.8 billion for the quarter. Amazon's stock price increased 6% to $155.75. The company also announced plans to invest $15 billion in data center expansion across Europe and Asia."
5,"Goldman Sachs Reports Strong Investment Banking Performance",2024-01-19,"Goldman Sachs Group Inc. (GS) posted impressive Q4 results on Friday, with investment banking revenue climbing 18% to $1.85 billion. The Wall Street bank's net income reached $2.1 billion, or $5.48 per share, beating analyst estimates. CEO David Solomon attributed the strong performance to increased merger and acquisition activity in the technology and healthcare sectors. The bank's total revenue was $11.3 billion. Goldman Sachs shares closed at $385.50, up 3.5%. The firm also announced a dividend increase to $2.75 per share."
6,"JPMorgan Chase Exceeds Expectations with $13.1 Billion Profit",2024-01-20,"JPMorgan Chase & Co. (JPM) reported fourth-quarter earnings that exceeded Wall Street expectations, with net income of $13.1 billion, or $4.44 per share. CEO Jamie Dimon highlighted the bank's strong performance across all business segments, including consumer banking, which generated $6.2 billion in revenue. The bank's total revenue reached $38.3 billion, up 12% from the previous year. JPMorgan's stock price rose 2.8% to $168.90. The company also increased its quarterly dividend to $1.05 per share."
7,"Google Parent Alphabet Reports Record Cloud Revenue",2024-01-21,"Alphabet Inc. (GOOGL), the parent company of Google, announced record-breaking cloud revenue of $8.4 billion in Q4 2023, representing 26% year-over-year growth. CEO Sundar Pichai emphasized the company's investments in artificial intelligence and machine learning capabilities. Google's total revenue reached $86.3 billion, with advertising revenue contributing $59.0 billion. The company's stock jumped 7% to $142.50 in after-hours trading. Alphabet also announced a $70 billion stock buyback authorization."
8,"Bitcoin Surges Past $50,000 as Institutional Adoption Grows",2024-01-22,"Bitcoin (BTC) reached a new milestone on Monday, surging past $50,000 for the first time since 2021. The cryptocurrency's price increased 8% to $51,200, driven by increased institutional adoption and the approval of several Bitcoin exchange-traded funds. Major financial institutions including BlackRock and Fidelity Investments have launched Bitcoin investment products. The total cryptocurrency market capitalization now exceeds $2.1 trillion. Analysts predict Bitcoin could reach $60,000 by the end of Q2 2024."
9,"Fed Raises Interest Rates by 0.25% to Combat Inflation",2024-01-23,"The Federal Reserve announced a 0.25 percentage point increase in the federal funds rate on Wednesday, bringing the target range to 5.25% to 5.50%. Fed Chair Jerome Powell stated that the decision reflects ongoing efforts to bring inflation down to the 2% target. The move marks the 11th rate increase since March 2022. Stock markets reacted negatively, with the S&P 500 dropping 1.2% and the Dow Jones Industrial Average falling 350 points. The 10-year Treasury yield rose to 4.35%."
10,"NVIDIA Stock Soars on AI Chip Demand",2024-01-24,"NVIDIA Corporation (NVDA) shares surged 12% on Thursday after the chipmaker reported exceptional Q4 earnings, with revenue reaching $22.1 billion, a 265% increase from the previous year. CEO Jensen Huang attributed the growth to unprecedented demand for AI chips, particularly the H100 GPU. The company's data center revenue reached $18.4 billion, up 409% year-over-year. NVIDIA's stock closed at $785.50, bringing its market capitalization to $1.95 trillion. The company also raised its Q1 2024 revenue guidance to $24.0 billion."
